Mafalda;500;1;CLOTHES;TECH;FOOD
Ricardo;500;0.5;BOOK;GAME;FURNITURE
Chico;500;0.2;GAME;TECH;BOOK
Henrique;500;0.6;TECH;FOOD;GAME
João;500;0.25;FURNITURE;FOOD;TECH
Manel;500;0.8;GAME;FOOD;CLOTHES
Leonor;500;0.45;BOOK;FURNITURE;GAME
Maria;500;0.3;CLOTHES;TECH;FOOD
Afonso;500;0.36;BOOK;GAME;FURNITURE
Duarte;500;0.67;GAME;TECH;BOOK
Diogo;500;0.81;TECH;FOOD;GAME
Marisa;500;0.4;FURNITURE;FOOD;TECH
Sara;500;0.78;GAME;FOOD;CLOTHES
Carolina;500;0.89;BOOK;FURNITURE;GAME
Sónia;500;0.91;CLOTHES;TECH;FOOD
Ana;500;0.1;BOOK;GAME;FURNITURE
Gustavo;500;0.8;GAME;TECH;BOOK
Mariana;500;0.1;TECH;FOOD;GAME
Pedro;500;0.28;FURNITURE;FOOD;TECH
Emanuel;500;0.99;GAME;FOOD;CLOTHES
