Iteration 1
0.0, 8
0.0, 3
300.0, 0.65, 0.6, Henrique
38.0, 0.65, 0.45, Leonor
388.0, 0.65, 0.8, Gustavo
0.0, 0
49.0, 0.57, 0.91, Sónia
340.0, 0.65, 0.81, Diogo
420.0, 0.65, 0.8, Manel
35.0, 0.65, 0.1, Mariana
99.0, 0.6, 0.4, Marisa
76.0, 0.6, 0.28, Pedro
120.0, 0.65, 0.2, Chico
50.0, 0.6, 0.5, Ricardo
20.0, 1.0, 0.25, João
560.0, 0.65, 0.89, Carolina
57.0, 0.6, 0.36, Afonso
69.0, 0.65, 0.78, Sara
84.0, 0.57, 0.3, Maria
2000.0, 0.57, 1.0, ﻿Mafalda
279.0, 0.6, 0.1, Ana
160.0, 0.65, 0.67, Duarte
700.0, 0.65, 0.99, Emanuel
0.0, 0
0.0, 5
0.0, 3
Iteration 2
0.0, 7
0.0, 3
0.0, 0
0.0, 1
0.0, 3
38.0, 0.48, 0.45, Leonor
388.0, 0.48, 0.8, Gustavo
0.0, 5
300.0, 0.48, 0.6, Henrique
57.0, 0.4, 0.36, Afonso
49.0, 0.35, 0.91, Sónia
35.0, 0.48, 0.1, Mariana
420.0, 0.48, 0.8, Manel
340.0, 0.48, 0.81, Diogo
76.0, 0.4, 0.28, Pedro
50.0, 0.4, 0.5, Ricardo
120.0, 0.48, 0.2, Chico
560.0, 0.48, 0.89, Carolina
99.0, 0.4, 0.4, Marisa
69.0, 0.48, 0.78, Sara
2000.0, 0.35, 1.0, ﻿Mafalda
20.0, 1.0, 0.25, João
84.0, 0.35, 0.3, Maria
279.0, 0.4, 0.1, Ana
700.0, 0.48, 0.99, Emanuel
160.0, 0.48, 0.67, Duarte
Iteration 3
0.0, 3
0.0, 7
0.0, 1
0.0, 0
38.0, 0.39, 0.45, Leonor
388.0, 0.39, 0.8, Gustavo
300.0, 0.39, 0.6, Henrique
57.0, 0.3, 0.36, Afonso
49.0, 0.24, 0.91, Sónia
0.0, 5
420.0, 0.39, 0.8, Manel
340.0, 0.39, 0.81, Diogo
0.0, 3
35.0, 0.39, 0.1, Mariana
99.0, 0.3, 0.4, Marisa
120.0, 0.39, 0.2, Chico
76.0, 0.3, 0.28, Pedro
50.0, 0.3, 0.5, Ricardo
69.0, 0.39, 0.78, Sara
560.0, 0.39, 0.89, Carolina
20.0, 1.0, 0.25, João
84.0, 0.24, 0.3, Maria
2000.0, 0.24, 1.0, ﻿Mafalda
160.0, 0.39, 0.67, Duarte
279.0, 0.3, 0.1, Ana
700.0, 0.39, 0.99, Emanuel
